slug,name_en,name_local,country,lang,rank,total,toilets,water,showers,laundry,parking,pharmacy,wifi,step_free,free_of_charge,with_hours,published
philadelphia,Philadelphia,Philadelphia,US,,999,1648,71,30,0,16,497,103,201,116,218,393,no
hiroshima,Hiroshima,広島市,JP,ja,999,1628,153,28,0,7,566,147,53,66,76,131,no
florence,Florence,Firenze,IT,it,999,1502,74,222,3,39,248,115,273,178,216,268,no
bologna,Bologna,Bologna,IT,it,999,1497,75,123,2,6,387,143,184,185,337,313,no
venice,Venice,Venezia,IT,it,999,1482,147,258,16,10,213,66,242,227,189,258,no
bern,Bern,Bern,CH,de,999,1426,103,99,30,2,152,43,141,249,151,602,no
naples,Naples,Napoli,IT,it,999,1379,59,158,2,2,192,151,151,64,129,142,no
strasbourg,Strasbourg,Strasbourg,FR,fr,999,1309,92,69,17,14,406,77,139,214,272,331,no
bristol,Bristol,Bristol,GB,,999,1304,68,29,0,13,337,90,118,150,302,240,no
las-vegas,Las Vegas,Las Vegas,US,,999,1276,42,23,0,2,157,37,283,66,46,477,no
montpellier,Montpellier,Montpellier,FR,fr,999,1262,105,152,0,37,254,98,103,208,209,227,no
york,York,York,GB,,999,1245,55,6,2,7,315,47,142,164,324,216,no
boston,Boston,Boston,US,,999,1222,129,153,5,11,322,35,172,224,255,213,no
bilbao,Bilbao,Bilbao,ES,es,999,1221,68,528,20,9,68,152,86,185,140,117,no
salzburg,Salzburg,Salzburg,AT,de,999,1200,66,58,9,2,448,32,122,292,339,252,no
verona,Verona,Verona,IT,it,999,1169,22,202,1,10,367,85,94,111,361,209,no
prague,Prague,Praha,CZ,,999,1136,3,0,0,2,5,86,610,219,5,807,no
granada,Granada,Granada,ES,es,999,1089,62,239,0,5,102,199,180,138,110,250,no
manchester,Manchester,Manchester,GB,,999,1078,51,14,0,6,282,84,184,168,147,219,no
bordeaux,Bordeaux,Bordeaux,FR,fr,999,1048,95,144,0,50,187,108,111,211,221,365,no
nice,Nice,Nice,FR,fr,999,1030,51,135,45,37,150,152,97,195,184,313,no
palermo,Palermo,Palermo,IT,it,999,1021,22,71,6,5,156,129,99,189,122,187,no
innsbruck,Innsbruck,Innsbruck,AT,de,999,1016,58,211,22,7,165,30,128,283,142,317,no
palma,Palma de Mallorca,Palma,ES,es,999,986,61,90,10,10,232,90,98,101,186,169,no
miami,Miami,Miami,US,,999,955,25,15,5,6,133,57,214,59,28,347,no
geneva,Geneva,Genève,CH,fr,999,933,65,255,14,11,120,85,98,141,115,271,no
athens,Athens,Αθήνα,GR,,999,805,0,0,0,16,39,229,137,87,23,304,no
toronto,Toronto,Toronto,CA,,999,770,22,4,0,11,39,140,232,248,22,355,no
new-orleans,New Orleans,New Orleans,US,,999,496,18,22,0,1,99,27,108,58,29,115,no
